arm,split,scenario_seed,arm_cost,core_cost,delta
no_reassign,test_id,11517899657293720597,13354.125,13325.208333333334,28.91666666666606
no_reassign,test_id,11581762148118912118,13318.125,13406.083333333334,-87.95833333333394
no_reassign,test_id,11592624161465594656,13395.875,13380.375,15.5
no_reassign,test_id,11599650550000749480,13599.166666666666,13564.833333333334,34.33333333333212
no_reassign,test_id,11649956963687778548,12683.958333333334,12848.0,-164.04166666666606
no_reassign,test_id,11691903080308762922,12471.958333333334,12466.291666666666,5.666666666667879
no_reassign,test_id,11804565947861010188,13937.375,13657.833333333334,279.54166666666606
no_reassign,test_id,11870887631483907992,14033.291666666666,14172.666666666666,-139.375
no_reassign,test_id,11958403402869279223,12730.583333333334,12876.375,-145.79166666666606
no_reassign,test_id,12091544755903687352,13554.291666666666,13774.125,-219.83333333333394
no_reassign,test_id,12139536841387658354,13428.75,13258.791666666666,169.95833333333394
no_reassign,test_id,12179415550462990013,12916.208333333334,12836.25,79.95833333333394
no_reassign,test_id,12191607152708606739,13177.791666666666,13176.666666666666,1.125
no_reassign,test_id,12230541210272430858,12566.375,12501.083333333334,65.29166666666606
no_reassign,test_id,12240172268651634788,12553.166666666666,12358.583333333334,194.58333333333212
no_reassign,test_id,12252667170099416500,13359.458333333334,13148.5,210.95833333333394
no_reassign,test_id,12270745014029806218,13580.541666666666,13294.791666666666,285.75
no_reassign,test_id,12331955676892847376,13049.583333333334,12857.625,191.95833333333394
no_reassign,test_id,12370315954728542580,11965.458333333334,12026.625,-61.16666666666606
no_reassign,test_id,12433065571216691902,13436.0,13381.875,54.125
no_reassign,test_id,12532392004662235168,13261.916666666666,13206.958333333334,54.95833333333212
no_reassign,test_id,12553769990289448809,12804.5,12688.958333333334,115.54166666666606
no_reassign,test_id,12675256731948077824,12621.791666666666,12529.291666666666,92.5
no_reassign,test_id,12746889685680303935,13168.75,13249.208333333334,-80.45833333333394
no_reassign,test_id,12794140508701276895,12255.541666666666,12254.208333333334,1.3333333333321207
no_reassign,test_id,12857116075601347116,12816.0,12922.916666666666,-106.91666666666606
no_reassign,test_id,12871748601989598042,12679.375,12455.166666666666,224.20833333333394
no_reassign,test_id,12885869865085967833,12089.916666666666,12072.041666666666,17.875
no_reassign,test_id,12896200065118004326,12036.041666666666,11953.791666666666,82.25
no_reassign,test_id,12994418886499024676,13101.583333333334,13064.041666666666,37.54166666666788
no_reassign,test_id,13261343001396828270,14078.708333333334,14054.541666666666,24.16666666666788
no_reassign,test_id,13282553474799146601,13432.875,13349.041666666666,83.83333333333394
no_reassign,test_id,13347125549191899927,12312.5,12258.333333333334,54.16666666666606
no_reassign,test_id,13423640271918994168,13589.541666666666,13483.541666666666,106.0
no_reassign,test_id,13429478478636505090,12447.75,12463.666666666666,-15.91666666666606
no_reassign,test_id,13431575969253347362,12878.083333333334,12953.708333333334,-75.625
no_reassign,test_id,13490119448939922521,14178.833333333334,14249.5,-70.66666666666606
no_reassign,test_id,13553391596475082418,12719.625,12632.833333333334,86.79166666666606
no_reassign,test_id,13602249223839381100,13884.875,13674.208333333334,210.66666666666606
no_reassign,test_id,13696826226358769469,13527.375,13414.583333333334,112.79166666666606
no_reassign,test_id,13699654719700400809,13685.708333333334,13490.708333333334,195.0
no_reassign,test_id,13803953881105598610,13556.083333333334,13332.5,223.58333333333394
no_reassign,test_id,13828101979243738777,13735.416666666666,13618.916666666666,116.5
no_reassign,test_id,13935911046484203455,12882.25,12801.083333333334,81.16666666666606
no_reassign,test_id,14021022926601786066,13399.583333333334,13491.916666666666,-92.33333333333212
no_reassign,test_id,14130693195453348058,13497.125,13659.125,-162.0
no_reassign,test_id,14146161848637675460,12845.416666666666,12750.958333333334,94.45833333333212
no_reassign,test_id,14454231675994481946,13244.333333333334,13361.583333333334,-117.25
